iso,country,records,deaths,deaths_reported,deaths_coverage_pct,affected,affected_reported,affected_coverage_pct,damage_usd,damage_usd_reported,damage_usd_coverage_pct,damage_adjusted_usd,damage_adjusted_usd_reported,damage_adjusted_usd_coverage_pct
USA,United States of America,660,11649.0,508,76.97,109704801.0,415,62.88,1624630426000.0,508,76.97,2094570595000.0,502,76.06
UZB,Uzbekistan,6,30.0,4,66.67,671817.0,6,100.0,50000000.0,1,16.67,93479000.0,1,16.67
VCT,Saint Vincent and the Grenadines,14,33.0,5,35.71,106698.0,12,85.71,823400000.0,8,57.14,1015144000.0,8,57.14
VEN,Venezuela (Bolivarian Republic of),44,8379.0,30,68.18,8749723.0,36,81.82,30366000000.0,9,20.45,531062000.0,7,15.91
VGB,British Virgin Islands,2,9.0,1,50.0,,0,0.0,3000000000.0,1,50.0,3940234000.0,1,50.0
VIR,United States Virgin Islands,3,7.0,2,66.67,,0,0.0,,0,0.0,,0,0.0
VNM,Viet Nam,208,5961.0,185,88.94,49865495.0,190,91.35,24539490000.0,114,54.81,33016694000.0,113,54.33
VUT,Vanuatu,27,44.0,7,25.93,1154139.0,25,92.59,552790000.0,4,14.81,718303000.0,4,14.81
WLF,Wallis and Futuna Islands,1,,0,0.0,1252.0,1,100.0,,0,0.0,,0,0.0
WSM,Samoa,8,253.0,5,62.5,23904.0,3,37.5,258540000.0,3,37.5,375362000.0,3,37.5
YEM,Yemen,58,3484.0,54,93.1,3460463.0,45,77.59,620000000.0,4,6.9,894662000.0,4,6.9
ZAF,South Africa,92,1903.0,75,81.52,31539429.0,84,91.3,8685305000.0,30,32.61,10139417000.0,29,31.52
ZMB,Zambia,43,1569.0,25,58.14,18040460.0,42,97.67,2261000.0,1,2.33,2320000.0,1,2.33
ZWE,Zimbabwe,50,7576.0,36,72.0,29655602.0,45,90.0,1486700000.0,8,16.0,1974300000.0,8,16.0
